T	V	Fv	Fd	Sv	Cv
1.00E-10	13.81987033	-7.220454568	0.038630565	1.02E-35	9.03E-75
10	13.81987192	-7.22045484	0.038630293	0.010236414	0.030709243
20	13.81989726	-7.220458924	0.038626209	0.081891778	0.245671853
30	13.82000645	-7.220476619	0.038608514	0.276223038	0.826848458
40	13.82029672	-7.220524083	0.03856105	0.649960207	1.911192956
50	13.82087985	-7.220622461	0.038462672	1.237401664	3.479921986
60	13.8218449	-7.220794466	0.038290667	2.03528462	5.357930099
70	13.82323672	-7.221060633	0.0380245	3.010596631	7.335974317
80	13.8250594	-7.221437167	0.037647967	4.118429683	9.256278918
90	13.82728951	-7.221935509	0.037149624	5.315136805	11.02887262
100	13.82989014	-7.222562874	0.036522259	6.564265409	12.61597812
110	13.83281958	-7.223323117	0.035762016	7.837818294	14.01186493
120	13.83603699	-7.224217591	0.034867542	9.115397353	15.22758548
130	13.83950468	-7.225245871	0.033839262	10.38270295	16.28145349
140	13.84318911	-7.226406303	0.03267883	11.63005099	17.19374825
150	13.84706151	-7.227696425	0.031388708	12.85113552	17.98404994
160	13.85109689	-7.229113258	0.029971875	14.04206938	18.67006908
170	13.85527397	-7.23065352	0.028431613	15.20067265	19.26727261
180	13.85957467	-7.232313774	0.026771359	16.32595487	19.78890351
190	13.86398371	-7.234090529	0.024994604	17.41774367	20.24617558
200	13.86848766	-7.235980308	0.023104825	18.47641889	20.64852881
210	13.87307556	-7.2379797	0.021105433	19.50272725	21.00389097
220	13.87773774	-7.240085385	0.018999748	20.49764804	21.31891704
230	13.88246582	-7.242294152	0.016790981	21.46230091	21.59919988
240	13.88725272	-7.244602915	0.014482219	22.39788116	21.8494494
250	13.89209227	-7.247008713	0.01207642	23.30561436	22.0736424
260	13.89697911	-7.249508715	0.009576419	24.18672547	22.27514692
270	13.90190846	-7.252100214	0.00698492	25.04241785	22.4568248
280	13.90687632	-7.254780629	0.004304504	25.8738602	22.62111624
290	13.91187901	-7.257547499	0.001537634	26.6821772	22.77010903
300	13.91691348	-7.260398475	0.001313342	27.46844535	22.90559585
